channel_id, channel_title, industry, channel_subscriberCount, channel_videoCount, channel_viewCount, has_email, has_ig, has_fb, has_twitter, has_websites, has_twitch, has_google_plus, twitter_favourites_count, twitter_followers_count, ig_posts_count, ig_followers_count, ig_following_count, keywords
UCet0-PKF0k1ibY8vwK3vUTA,Fancy Hair,hair,392851,264,28357348,1,1,1,1,0,0,1,9,421,"3,401",20.4k,195,"""fancy hair"" ""niki sky"" ""get fancy hair"" ""fancy hair extensions"" ""fancy hair tutorials"" ""hair tutorials"" hair hairstyle hairstyles ""how to"" grow braid longer thicker heatless ""no heat"" ""fancy hairstyle"" ""heatless hairstyles"" ""no heat hairstyle"" ""wavy hair"" ""curly hair"" ""hairstyles for long hair"" ""hairstyles for medium hair"" ""braided hairstyle"" ""boho hairstyle"" ""beachy waves"" beach waves ""everyday hair"" ""every day hair"" ""heatless waves"" curls ""heatless wavy hair"" curly"
UCzBWiqz5FUesyxZ6KdaA82g,"Cake, DIY, Makeup, Hairstyles, Nail Art - Topic",hair,0,190,87458348,0,0,0,0,0,0,0,,,,,,
UCKjrT7t9h6GsSkzhFe0ccDA,Zendaya,hair,804264,149,79992365,0,1,1,1,0,0,1,29568,12794153,205,69.6k,48,Shake it up zendaya coleman bella thorne disney channel mickey mouse selena gomez demi lovato justin bieber swag out watch me break down ce rocky zendaya.com
UCfm4y4rHF5HGrSr-qbvOwOg,IISuperwomanII,hair,13324173,681,2462252580,1,1,1,1,0,0,0,8044,5549760,"3,872",7.2m,954,superwoman superwomen iisuperwomanii iisuperwomenii brown comedy rapper indian funny lilly singh parents skits rants lily sing super woman teamsuper team monday thursday supermonday superthursday supersixty bloopers
UCMOTCjsUTvu_O4Rj1i06VtA,Misha Grimes,hair,47964,185,4216171,1,1,1,0,1,0,1,,,"1,606",25.8k,"1,098",Fashion Beauty Lifestyle Clothes Makeup Vlogs
UCctjAAIUSW3DRS-5Phh_hgQ,Kayley Melissa,hair,1524013,551,174731780,0,1,1,1,1,0,0,303,16316,761,108.8k,928,"""how to"" hair ""hair tutorial"" ""hair tutorials"" hairstyle hairstyles ""hair style"" boho bohemian braid braided braids prom wedding formal homecoming cute ""easy 5 minute"""
UCqONv8hrKKTd0ELJcxOVNJQ,THE PRINCE FAMILY,hair,441226,67,22765879,0,0,0,0,0,0,0,,,,,,"""The Prince Family"" ""Prince Family"" ""The Prince Family Vlogs"""
UCLtREJY21xRfCuEKvdki1Kw,H3 Podcast,podcast,1345778,56,83694606,0,1,0,1,0,0,0,13666,1796671,607,1.5m,113,"""h3 podcast"" podcast h3h3 h3h3productions ""ethan and hila"" ""ethan klein"" ""hila klein"""
UCAOwW6UWDZDFZ5meGS-lQhQ,Jenna Julien,podcast,561478,176,48667142,0,1,0,1,1,0,0,,,,,,
UCzH3iADRIq1IJlIXjfNgTpA,Rooster Teeth,podcast,9433963,7704,5407959920,0,1,1,1,0,0,1,10184,1039327,532,305.1k,54,"minecraft gta grand theft auto halo lazer team rwby ruby rose redvsblue red vs blue rvb rooster teeth roosterteeth machinima xbox angry birds achievement ""RT Shorts"" rt shorts funny comedy"
