
Pattern                                                                         Occurances: Tid_List
InstaFollowers:1.1m                                                                                                                                   :5
InstaFollowers:1.5m                                                                                                                                   :5
InstaFollowers:1.5m InstaFollowing:1x100                                                                                                              :3
InstaFollowers:1.5m InstaFollowing:1x100
 InstaPosts:6x100                                                                                            :3
InstaFollowers:1.5m InstaFollowing:1x100
 InstaPosts:6x100 TwitterFavorites:1x10000                                                                   :3
InstaFollowers:1.5m InstaFollowing:1x100
 InstaPosts:6x100 TwitterFavorites:1x10000 TwitterFollowers:1x1000000                                        :3
InstaFollowers:1.5m InstaFollowing:1x100
 InstaPosts:6x100 TwitterFollowers:1x1000000                                                                 :3
InstaFollowers:1.5m InstaFollowing:1x100
 TwitterFavorites:1x10000                                                                                    :3
InstaFollowers:1.5m InstaFollowing:1x100
 TwitterFavorites:1x10000 TwitterFollowers:1x1000000                                                         :3
InstaFollowers:1.5m InstaFollowing:1x100
 TwitterFollowers:1x1000000                                                                                  :3
InstaFollowers:1.5m InstaPosts:6x100                                                                                                                  :3
InstaFollowers:1.5m InstaPosts:6x100 TwitterFavorites:1x10000                                                                                         :3
InstaFollowers:1.5m InstaPosts:6x100 TwitterFavorites:1x10000 TwitterFollowers:1x1000000                                                              :3
InstaFollowers:1.5m InstaPosts:6x100 TwitterFollowers:1x1000000                                                                                       :3
InstaFollowers:1.5m TwitterFavorites:1x10000                                                                                                          :3
InstaFollowers:1.5m TwitterFavorites:1x10000 TwitterFollowers:1x1000000                                                                               :3
InstaFollowers:1.5m TwitterFollowers:1x1000000                                                                                                        :3
InstaFollowers:1.5m VideoCount:2x100                                                                                                                  :3
InstaFollowers:13.3m                                                                                                                                  :3
InstaFollowers:13.3m InstaFollowing:0x10                                                                                                              :3
InstaFollowers:13.3m InstaFollowing:0x10
 InstaPosts:2,400                                                                                            :3
InstaFollowers:13.3m InstaFollowing:0x10
 InstaPosts:2,400 TwitterFollowers:2x10                                                                      :3
InstaFollowers:13.3m InstaFollowing:0x10
 TwitterFollowers:2x10                                                                                       :3
InstaFollowers:13.3m InstaPosts:2,400                                                                                                                 :3
InstaFollowers:13.3m InstaPosts:2,400 TwitterFollowers:2x10                                                                                           :3
InstaFollowers:13.3m TwitterFollowers:2x10                                                                                                            :3
InstaFollowers:2.1m                                                                                                                                   :5
InstaFollowers:2.1m InstaFollowing:3x100                                                                                                              :4
InstaFollowers:2.1m InstaFollowing:3x100
 InstaPosts:2,210                                                                                            :4
InstaFollowers:2.1m InstaFollowing:3x100
 InstaPosts:2,210 TwitterFavorites:2x10000                                                                   :4
InstaFollowers:2.1m InstaFollowing:3x100
 InstaPosts:2,210 TwitterFavorites:2x10000 TwitterFollowers:3x100000                                         :4
InstaFollowers:2.1m InstaFollowing:3x100
 InstaPosts:2,210 TwitterFollowers:3x100000                                                                  :4
InstaFollowers:2.1m InstaFollowing:3x100
 TwitterFavorites:2x10000                                                                                    :4
InstaFollowers:2.1m InstaFollowing:3x100
 TwitterFavorites:2x10000 TwitterFollowers:3x100000                                                          :4
InstaFollowers:2.1m InstaFollowing:3x100
 TwitterFollowers:3x100000                                                                                   :4
InstaFollowers:2.1m InstaPosts:2,210                                                                                                                  :4
InstaFollowers:2.1m InstaPosts:2,210 TwitterFavorites:2x10000                                                                                         :4
InstaFollowers:2.1m InstaPosts:2,210 TwitterFavorites:2x10000 TwitterFollowers:3x100000                                                               :4
InstaFollowers:2.1m InstaPosts:2,210 TwitterFollowers:3x100000                                                                                        :4
InstaFollowers:2.1m TwitterFavorites:2x10000                                                                                                          :4
InstaFollowers:2.1m TwitterFavorites:2x10000 TwitterFollowers:3x100000                                                                                :4
InstaFollowers:2.1m TwitterFollowers:3x100000                                                                                                         :4
InstaFollowers:25.8k                                                                                                                                  :3
InstaFollowers:3.4m                                                                                                                                   :3
InstaFollowers:3m                                                                                                                                     :4
InstaFollowers:3m TwitterFollowers:1x1000000                                                                                                          :4
InstaFollowers:7x100                                                                                                                                  :4
InstaFollowing:0x10                                                                                                                                   :13
InstaFollowing:0x10
 InstaPosts:2,400                                                                                                                 :3
InstaFollowing:0x10
 InstaPosts:2,400 TwitterFollowers:2x10                                                                                           :3
InstaFollowing:0x10
 Subscribers:1x10000000                                                                                                           :3
InstaFollowing:0x10
 TwitterFollowers:2x10                                                                                                            :3
InstaFollowing:0x10
 VideoCount:1x1000                                                                                                                :4
